,round,year,company,segment,name,UnitSold,UnitInvent,RevDate,Age,MTBF,Pfmm,Size,Price,MatCost,LaborCost,ContrMarg,SecShiftOverTime,AutomationNextRd,CapNextRd,PlantUtilz,market_cap,market_size,performance_center,performance_ideal,size_center,size_ideal,AGE_ideal,PRICE_L,PRICE_H,MTBF_L,MTBF_H,radius,distance,distance_ideal
76,2.0,2023.0,Chester,Traditional,Cake,1203.0,218.0,2022-05-05,3.4,14000.0,5.7,14.3,28.7,8.95,6.02,0.4,0.0,8.0,1800.0,0.43,8809.0,0.3,6.4,6.4,13.6,13.6,2.0,21.5,31.5,14000.0,19000.0,1,0.9899494936611675,0
77,2.0,2023.0,Digby,High End,DeeNee,184.0,0.0,2023-07-12,0.5,22000.0,10.0,10.0,40.0,15.43,14.53,0.25,1.0,3.0,400.0,0.92,3449.0,0.12,9.3,10.7,10.7,9.3,0.0,29.0,39.0,20000.0,25000.0,1,0.9899494936611655,0
78,2.0,2023.0,Digby,High End,Duck,228.0,695.0,2020-04-18,3.7,23000.0,8.0,12.0,38.5,13.83,9.4,0.15,0.0,3.0,900.0,0.33,3449.0,0.12,9.3,10.7,10.7,9.3,0.0,29.0,39.0,20000.0,25000.0,1,3.8183766184073558,0
79,2.0,2023.0,Digby,Low End,Dell,1231.0,1937.0,2022-01-29,6.6,12000.0,3.0,17.0,22.0,5.78,7.27,0.28,1.0,7.0,1600.0,1.98,11179.0,0.39,3.5,2.7,16.5,17.3,7.0,14.0,24.0,12000.0,17000.0,1,0.4242640687119289,0
80,2.0,2023.0,Digby,Performance,Dot,513.0,255.0,2023-05-24,1.8,27000.0,10.5,15.0,33.5,15.28,9.4,0.22,0.0,3.0,600.0,0.99,2748.0,0.09,10.0,11.4,15.6,14.6,1.0,24.0,34.0,22000.0,27000.0,1,0.9848857801796109,0
81,2.0,2023.0,Digby,Size,Dune,583.0,219.0,2023-07-27,1.8,19000.0,4.9,9.5,33.0,12.86,9.4,0.3,0.0,3.0,600.0,0.99,2777.0,0.1,4.4,5.4,10.0,8.6,1.5,24.0,34.0,16000.0,21000.0,1,1.0295630140987002,0
82,2.0,2023.0,Digby,Traditional,Daze,1525.0,709.0,2023-05-07,2.0,17500.0,6.1,14.0,28.0,0.0,0.0,0.22,0.0,5.0,1800.0,0,8809.0,0.3,6.4,6.4,13.6,13.6,2.0,21.5,31.5,14000.0,19000.0,1,0.5000000000000007,0
83,2.0,2023.0,Erie,High End,Echo,470.0,0.0,2023-07-31,2.1,24000.0,9.8,10.0,39.0,0.0,0.0,0.38,0.0,4.0,900.0,0,3449.0,0.12,9.3,10.7,10.7,9.3,0.0,29.0,39.0,20000.0,25000.0,1,1.1401754250991363,0
84,2.0,2023.0,Erie,Low End,Ebb,1917.0,856.0,2017-05-25,6.6,14000.0,3.0,17.0,22.0,6.38,8.72,0.26,1.0,5.0,1400.0,1.98,11179.0,0.39,3.5,2.7,16.5,17.3,7.0,14.0,24.0,12000.0,17000.0,1,0.4242640687119289,0
85,2.0,2023.0,Erie,NA,Elite,0.0,0.0,2023-11-26,0.1,20000.0,11.6,9.0,40.0,0.0,0.0,0.0,0.0,4.0,600.0,0,,,,,,,,,,,,1,,0
86,2.0,2023.0,Erie,Performance,Edge,208.0,139.0,2019-06-30,4.5,25000.0,9.4,15.5,33.0,13.87,9.4,0.23,0.0,3.0,600.0,0.53,2748.0,0.09,10.0,11.4,15.6,14.6,1.0,24.0,34.0,22000.0,27000.0,1,2.193171219946131,0
87,2.0,2023.0,Erie,Size,Egg,685.0,202.0,2024-12-24,2.9,19000.0,4.7,9.6,34.5,12.74,8.23,0.35,0.0,4.0,600.0,0.99,2777.0,0.1,4.4,5.4,10.0,8.6,1.5,24.0,34.0,16000.0,21000.0,1,1.2206555615733703,0
88,2.0,2023.0,Erie,Traditional,Eat,1891.0,86.0,2023-05-18,2.0,17500.0,6.4,13.6,29.0,10.66,7.05,0.37,0.0,6.5,1800.0,0.83,8809.0,0.3,6.4,6.4,13.6,13.6,2.0,21.5,31.5,14000.0,19000.0,1,0.0,0
89,2.0,2023.0,Ferris,High End,Fist,1111.0,0.0,2023-07-01,1.5,24000.0,9.7,10.4,39.0,15.69,8.61,0.38,0.11,4.0,900.0,1.1,3449.0,0.12,9.3,10.7,10.7,9.3,0.0,29.0,39.0,20000.0,25000.0,1,1.4866068747318502,0
90,2.0,2023.0,Ferris,Performance,Foam,204.0,93.0,2023-08-23,1.7,24000.0,10.0,15.4,34.0,13.97,8.22,0.31,0.0,4.0,600.0,0.41,2748.0,0.09,10.0,11.4,15.6,14.6,1.0,24.0,34.0,22000.0,27000.0,1,1.6124515496597107,0
